基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
590002,中邮核心成长混合,514,87.71,445,82.10,300,63.69,302,80.32
000061,华夏盛世混合,245,41.81,421,77.68,318,67.52,303,80.59
000011,华夏大盘精选混合,219,37.37,363,66.97,375,79.62,304,80.85
162006,长城久富核心成长混合(LOF),300,51.19,447,82.47,398,84.50,305,81.12
690003,民生加银精选混合,381,65.02,241,44.46,261,55.41,306,81.38
110010,易方达价值成长混合,412,70.31,321,59.23,345,73.25,307,81.65
163503,天治核心成长混合(LOF),529,90.27,490,90.41,408,86.62,308,81.91
166006,中欧行业成长混合(LOF) -A,187,31.91,215,39.67,209,44.37,309,82.18
161611,融通内需驱动混合,562,95.90,474,87.45,410,87.05,310,82.45
270005,广发聚丰混合,517,88.23,289,53.32,339,71.97,311,82.71
070010,嘉实主题精选混合,215,36.69,259,47.79,313,66.45,312,82.98
257050,国联安主题驱动混合,583,99.49,517,95.39,424,90.02,313,83.24
050018,博时行业轮动混合,24,4.10,297,54.80,342,72.61,314,83.51
000001,华夏成长混合,516,88.05,483,89.11,421,89.38,315,83.78
290002,泰信先行策略混合,547,93.34,493,90.96,444,94.27,316,84.04
240011,华宝兴业大盘精选混合,504,86.01,444,81.92,395,83.86,317,84.31
377010,上投摩根阿尔法混合,224,38.23,206,38.01,316,67.09,318,84.57
620005,金元顺安核心动力混合,458,78.16,473,87.27,241,51.17,319,84.84
260111,景顺长城公司治理混合,365,62.29,470,86.72,397,84.29,320,85.11
160910,大成创新成长混合(LOF),379,64.68,469,86.53,333,70.70,321,85.37
217009,招商核心价值混合,435,74.23,397,73.25,392,83.23,322,85.64
163818,中银中小盘成长混合,387,66.04,466,85.98,387,82.17,323,85.90
580006,东吴新经济混合,528,90.10,429,79.15,283,60.08,324,86.17
161706,招商优质成长混合 (LOF),449,76.62,406,74.91,351,74.52,325,86.44
160805,长盛同智优势成长混合(LOF),556,94.88,511,94.28,384,81.53,326,86.70
377020,上投摩根内需动力混合,542,92.49,499,92.07,457,97.03,327,86.97
519025,海富通领先成长混合,297,50.68,481,88.75,383,81.32,328,87.23
050008,博时第三产业成长混合,375,63.99,494,91.14,418,88.75,329,87.50
260108,景顺长城新兴成长混合,131,22.35,263,48.52,390,82.80,330,87.77
162703,广发小盘成长混合(LOF),307,52.39,426,78.60,362,76.86,331,88.03
160605,鹏华中国50混合,312,53.24,449,82.84,420,89.17,332,88.30
590001,中邮核心优选混合,398,67.92,462,85.24,407,86.41,333,88.56
420001,天弘精选混合,461,78.67,330,60.89,355,75.37,334,88.83
481004,工银稳健成长混合A,564,96.25,515,95.02,455,96.60,335,89.10
200011,长城景气行业龙头灵活配置混合,558,95.22,507,93.54,425,90.23,336,89.36
610001,信达澳银领先增长混合,362,61.77,498,91.88,419,88.96,337,89.63
202007,南方隆元产业主题混合,226,38.57,267,49.26,278,59.02,338,89.89
161818,银华消费主题分级混合,570,97.27,526,97.05,458,97.24,339,90.16
660006,农银大盘蓝筹混合,175,29.86,491,90.59,431,91.51,340,90.43
620004,金元顺安价值增长混合,492,83.96,501,92.44,414,87.90,341,90.69
320007,诺安成长混合,486,82.94,374,69.00,385,81.74,342,90.96
020005,国泰金马稳健混合,82,13.99,396,73.06,368,78.13,343,91.22
161610,融通领先成长混合(LOF),481,82.08,392,72.32,416,88.32,344,91.49
090003,大成蓝筹稳健混合,253,43.17,455,83.95,372,78.98,345,91.76
233008,大摩消费领航混合基金,586,100.00,489,90.22,456,96.82,346,92.02
112002,易方达策略成长二号混合,552,94.20,521,96.13,450,95.54,347,92.29
671010,西部利得策略优选混合,390,66.55,502,92.62,449,95.33,348,92.55
580001,东吴嘉禾优势精选混合,171,29.18,464,85.61,429,91.08,349,92.82
050009,博时新兴成长混合,497,84.81,492,90.77,417,88.54,350,93.09
200006,长城消费增值混合,384,65.53,453,83.58,426,90.45,351,93.35
162209,泰达宏利市值优选混合,457,77.99,512,94.46,461,97.88,352,93.62
375010,上投摩根中国优势混合,346,59.04,405,74.72,305,64.76,353,93.88
110002,易方达策略成长混合,560,95.56,528,97.42,454,96.39,354,94.15
560003,益民创新优势混合,500,85.32,520,95.94,430,91.30,355,94.41
483003,工银精选平衡混合,509,86.86,390,71.96,346,73.46,356,94.68
580002,东吴价值成长双动力混合,576,98.29,516,95.20,462,98.09,357,94.95
160611,鹏华优质治理混合(LOF),452,77.13,467,86.16,427,90.66,358,95.21
